"","Checklist.ID","Site.ID","year","month","Sampling.protocol","Party.Size","Observer","presence","presence_f","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","geometry"
"1",133,133,2010,6,"Traveling Survey",NA,"Max Larrivee",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-372562.513620255, 234855.601448463)
"2",139,139,2009,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-754239.210596956, 660953.497786527)
"3",180,180,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-699463.183156366, 525141.541881619)
"4",181,181,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-699056.315948564, 529070.784033025)
"5",182,182,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-657535.239959503, 462708.873094927)
"6",183,183,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-702144.880406855, 571993.769537051)
"7",184,184,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-693341.749682343, 578587.299511796)
"8",185,185,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-685061.503203197, 1135644.56390266)
"9",186,186,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-586231.722598465, 248443.981480757)
"10",187,187,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-684610.370592539, 614193.296952755)
"11",188,188,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-689434.621234457, 1135627.97002431)
"12",189,189,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-685800.951782766, 1155636.1845861)
"13",190,190,2011,7,"Traveling Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-645688.389527757, 683959.116419025)
